,image_info,image_confidence,image_margin,image_entropy,image_pred,image_label,dis2mean
0,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_822.jpg,0.9943242073059082,0.9886483335867524,0.0350126103967472,0,0,tensor([0.5332])
1,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_279.jpg,1.0,0.9999999999998218,5.229715654610196e-12,1,0,tensor([0.5387])
2,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2888.jpg,0.6287751793861389,0.25755032896995544,0.6596043340975516,0,0,tensor([0.5618])
3,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2759.jpg,0.6557687520980835,0.3115375339984894,0.6438022257907063,0,0,tensor([0.6533])
4,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4917.jpg,1.0,0.9999999978619409,4.268285859866099e-08,1,0,tensor([0.5339])
5,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4823.jpg,1.0,0.999999945751398,9.075622200930529e-07,1,0,tensor([0.5691])
6,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2657.jpg,1.0,0.9999999935825832,1.210597563066807e-07,1,0,tensor([0.5389])
7,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_996.jpg,0.9999818801879883,0.999963815229421,0.00021541675197372595,0,0,tensor([0.5715])
8,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2993.jpg,1.0,0.9999999991028932,1.8688390439053646e-08,1,0,tensor([0.5843])
9,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2258.jpg,0.999980092048645,0.9999602012521791,0.00023523066570661847,0,0,tensor([0.5209])
10,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_448.jpg,0.9999994039535522,0.9999987894849482,9.384488395292814e-06,0,0,tensor([0.5830])
11,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_3534.jpg,1.0,0.999999999220067,1.6356608136949746e-08,1,0,tensor([0.5979])
12,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_3993.jpg,1.0,0.999999980235792,3.5060505803503085e-07,0,0,tensor([0.6220])
13,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_928.jpg,0.9999985694885254,0.9999971489563677,2.05572358539748e-05,0,0,tensor([0.5775])
14,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_438.jpg,0.99159836769104,0.9831967186182737,0.04852046989916242,0,0,tensor([0.6106])
15,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4165.jpg,1.0,0.9999999562229682,7.417648795441344e-07,1,0,tensor([0.5823])
16,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4615.jpg,0.9999994039535522,0.9999987723837762,9.611741080605502e-06,1,0,tensor([0.5704])
17,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_778.jpg,0.9999399185180664,0.9998797967818973,0.0006444111946740779,0,0,tensor([0.5866])
18,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4660.jpg,0.9537634253501892,0.9075269028544426,0.1872811869847464,0,0,tensor([0.5407])
19,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2885.jpg,0.8384695053100586,0.6769390106201172,0.442199096711121,0,0,tensor([0.5828])
20,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4022.jpg,0.9999920129776001,0.9999840480950297,0.00010149844229557749,1,0,tensor([0.6589])
21,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_1699.jpg,1.0,0.9999999842059193,2.8371903163048747e-07,1,0,tensor([0.6606])
22,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_1999.jpg,1.0,0.9999999954371326,8.763130418718809e-08,1,0,tensor([0.5603])
23,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4619.jpg,0.9998965263366699,0.9997930491517764,0.0010529914531481395,0,0,tensor([0.5545])
24,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_708.jpg,1.0,0.9999999650989757,5.992767509678836e-07,1,0,tensor([0.5891])
25,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_1659.jpg,0.9999996423721313,0.9999993145226256,5.25265407849869e-06,0,0,tensor([0.6395])
26,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2659.jpg,1.0,0.9999999725939581,4.772077684066027e-07,1,0,tensor([0.5748])
27,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_2283.jpg,0.9999992847442627,0.9999985889521099,1.0580346116187672e-05,1,0,tensor([0.6051])
28,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_4983.jpg,1.0,0.9999999932654786,1.2671688296542145e-07,1,0,tensor([0.5561])
29,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_1457.jpg,0.9999518394470215,0.999903694671957,0.0005267809463778482,0,0,tensor([0.5963])
30,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_3579.jpg,0.999988317489624,0.9999766834052934,0.0001438639226737726,1,0,tensor([0.5420])
31,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_1698.jpg,1.0,0.9999999974176221,5.106537370232752e-08,1,0,tensor([0.5312])
32,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Test/Real/real_1342.jpg,0.973256528377533,0.9465130120515823,0.12323329440406883,0,0,tensor([0.6036])
