,image_info,image_confidence,image_margin,image_entropy,image_pred,image_label,dis2mean
0,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_12772.jpg,1.0,0.9999999974235261,5.0954523025669445e-08,0,0,tensor([0.2672])
1,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_8812.jpg,1.0,0.9999999999999996,1.396417236918829e-14,0,0,tensor([12.6362])
2,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_17275.jpg,1.0,0.9999999994141009,1.2454967983929558e-08,0,0,tensor([1.0690])
3,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_5418.jpg,1.0,0.9999999999982974,4.613967225931143e-11,0,0,tensor([5.5214])
4,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_12024.jpg,0.9999973773956299,0.9999947689072997,3.615925637260626e-05,0,0,tensor([5.6441])
5,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_10751.jpg,0.9999979734420776,0.9999959218478125,2.8896067211776037e-05,1,0,tensor([2.8172])
6,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_4917.jpg,0.9999998807907104,0.9999997967390257,1.4885653717466925e-06,1,0,tensor([0.6464])
7,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_4823.jpg,0.6326617002487183,0.26532337069511414,0.6575238673773122,1,0,tensor([11.9437])
8,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_11203.jpg,0.9999680519104004,0.9999360792789957,0.0003628844663129117,1,0,tensor([4.8443])
9,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_2657.jpg,1.0,0.999999998982207,2.1074043773062894e-08,0,0,tensor([0.6249])
10,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_18362.jpg,0.9810865521430969,0.9621730912476778,0.09377981977886199,1,0,tensor([9.4993])
11,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_16878.jpg,1.0,0.9999999759502316,4.2190846530442485e-07,1,0,tensor([0.7418])
12,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_996.jpg,0.9999997615814209,0.9999995607311263,3.335671895866163e-06,0,0,tensor([3.9248])
13,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_2258.jpg,0.9990096092224121,0.9980191974900663,0.007840964203722533,1,0,tensor([7.3579])
14,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_19128.jpg,0.99957674741745,0.9991534433502238,0.00371114339262027,0,0,tensor([10.0904])
15,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_448.jpg,1.0,0.9999999856213018,2.596436023582377e-07,0,0,tensor([1.7140])
16,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_3534.jpg,0.994637668132782,0.9892753567546606,0.033384024024253084,1,0,tensor([8.4233])
17,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_3993.jpg,0.999997615814209,0.9999952905775444,3.254642919167257e-05,1,0,tensor([2.9730])
18,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_438.jpg,1.0,0.9999999999978157,5.864753204056213e-11,1,0,tensor([6.2620])
19,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_4165.jpg,1.0,0.9999999999999916,2.734194494353848e-13,0,0,tensor([9.9364])
20,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_11947.jpg,1.0,0.999999999667621,7.254087848333623e-09,0,0,tensor([1.5771])
21,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_13858.jpg,1.0,0.9999999999843179,3.901468466379148e-10,0,0,tensor([3.7456])
22,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_16787.jpg,1.0,0.999999999999896,3.109907924059144e-12,0,0,tensor([8.1259])
23,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_10917.jpg,1.0,0.9999999998596556,3.1839812719392617e-09,0,0,tensor([2.1827])
24,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_14871.jpg,0.9999605417251587,0.9999211244066828,0.0004392005564550834,0,0,tensor([8.2485])
25,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_2885.jpg,0.6403725147247314,0.2807450592517853,0.6532035613119047,1,0,tensor([11.7471])
26,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_13794.jpg,0.9936391711235046,0.9872783524915576,0.038511020600772196,1,0,tensor([9.1836])
27,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_16590.jpg,1.0,0.9999999931216008,1.2927868648285333e-07,1,0,tensor([1.0258])
28,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_14934.jpg,1.0,0.9999999999977032,6.155429049857231e-11,1,0,tensor([6.4496])
29,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_6805.jpg,1.0,0.9999999974718459,5.004677385463536e-08,0,0,tensor([0.5096])
30,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_8467.jpg,1.0,0.9999999999844204,3.877004655102931e-10,0,0,tensor([3.9081])
31,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_10137.jpg,1.0,0.9999999999900414,2.522762098287509e-10,1,0,tensor([5.2153])
32,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_1999.jpg,1.0,0.9999999998069258,4.318673289086487e-09,0,0,tensor([1.8953])
33,/home/erfan/MLSP project/Datasets/Deepfake and Real images-Kaggle/Validation_small2/Real/real_9382.jpg,0.999177873134613,0.9983558174571954,0.006661427740631466,0,0,tensor([13.3166])
